id;gold;google_raw_all;google_raw_clean;google_preproc_all;google_preproc_clean;tess_preproc
dcc0b9sipdub1.jpg;Când auzi că se închide FileList;Când auzi că se închide FileList;Când auzi că se închide FileList;Când auzi că se închide FileList;Când auzi că se închide FileList;
Screenshot 2024-06-07 at 22.45.13.png;M-AM DUS PE ȘANTIER, POATE AȘA CONSTRUIM ȘI NOI UN VIITOR ÎMPREUNA;M-AM DUS PE ŞANTIER, POATE ASA actic Aเอ RAD CONSTRUIM ŞI NOI UN VIITOR ÎMPREUNĂ +;M-AM DUS PE ŞANTIER, POATE ASA actic Aเอ RAD CONSTRUIM ŞI NOI UN VIITOR ÎMPREUNĂ +;M-AM DUS PE ŞANTIER, POATE ASA CONSTRUIM ŞI NOI UN VIITOR ÎMPREUNĂ;M-AM DUS PE ŞANTIER, POATE ASA CONSTRUIM ŞI NOI UN VIITOR ÎMPREUNĂ;V-AM DUS PE ȘANTIER, POATE ASA - CONSTRUIM ȘI NOI UN VIITOR IMPREUNĂ
373299584_1039997940509594_8979389406603963583_n.jpg;îti arät eu revoltă imediat...;îti arăt eu revoltă imediat...;îti arăt eu revoltă imediat...;îti arăt eu revoltă imediat...;îti arăt eu revoltă imediat...;Sina i SR 55 ai Î— P_ a fe, J - PN or ti arăt eu revoltă imediat...
 -17.jpg;PETRECEREA DE PIETONI;PETRECEREA DE PIETONI;PETRECEREA DE PIETONI;;;LA a — —
440058715_443240775064021_6300648858240467975_n.jpg;degeaba ma abin sã nu zic ceva, că mi se citeşte pe fată;degeaba mă abţin să nu zic ceva, că mi se citeşte pe faţă @romania.glumeata;degeaba mă abţin să nu zic ceva, că mi se citeşte pe faţă @ romania. glumeata;degeaba mă abţin să nu zic ceva, că mi se citeşte pe faţă;degeaba mă abţin să nu zic ceva, că mi se citeşte pe faţă;degeaba mă abţin să nu zic ceva, că mi se citește pe față
 -6.jpg;Hey, scuze, cred ca m-ai lăsat cu seen din greseala;Hey, scuze, cred ca m-ai lăsat cu seen din greseala;Hey, scuze, cred ca m-ai lăsat cu seen din greseala;Hey, scuze, cred ca m-ai lasat cu scen din greseala;Hey, scuze, cred ca m-ai lasat cu scen din greseala;Hoy. scuze. crod că mal tusal cu scen din cute pala
Screenshot 2024-06-07 at 21.12.21.png;NU IMI PASA DE TRECUTUL TAU TRECUTUL EI:;NU IMI PASA DE TRECUTUL TAU TRECUTUL EI;NU IMI PASA DE TRECUTUL TAU TRECUTUL EI;NU IMI PASA DE TRECUTUL TAU TRECUTUL EI 11;NU IMI PASA DE TRECUTUL TAU TRECUTUL EI 11;NU IMI PASA DE TRECUTUL TAU - TRECUTULEI Mi UA
ydb7bab3nuvc1.jpeg;Când nu știi ce să alegi...;Când nu ştii ce să alegi AUR PNL USR PSD UDMR GC;Când nu ştii ce să alegi AUR PNL USR PSD UDMR GC;Când nu şti ce să GC;Când nu şti ce să GC;Câreal re știi cs să (A) [i E RI) A 4 I] r-) e) LI PA | 29) 29) N ie)
7d2wemn9g44d1.png;Cum se uită gândacii la tine când aprinzi lumina în bucătărie.;imat Cum se uită gândacii la tine când aprinzi lumina in bucătărie.;Cum se uită gândacii la tine când aprinzi lumina in bucătărie.;Cum se uită gândacii la tine când aprinzi lumina in bucătărie.;Cum se uită gândacii la tine când aprinzi lumina in bucătărie.;Cum se uită gândacii la tine când aprinzi lumina in bucătărie.
america.webp;Noi angajați de la McDonald's când văd otravă de șoareci și plicuri de laxaive puse în sertarul ”Pentru clienți”;"Noi angajați de la McDonald's când văd otravă de șoareci și plicuri de laxative puse în sertarul ""Pentru clienți""";"Noi angajați de la McDonald ' s când văd otravă de șoareci și plicuri de laxative puse în sertarul "" Pentru clienți """;"Noi angajaţi de la McDonald's când văd otravă de şoareci și plicuri de laxative puse în sertarul ""Pentru clienţi""";"Noi angajaţi de la McDonald ' s când văd otravă de şoareci și plicuri de laxative puse în sertarul "" Pentru clienţi """;"Noi angajaţi de la McDonald's când văd otravă de șoareci și plicuri de laxative puse în sertarul ""Pentru clienţi”"
dcsfqdje3sob1.jpg;Sunt pasionat de fotbal și de mașini;Sunt pasionat de fotbal si de maşini IL 기 기 );Sunt pasionat de fotbal si de maşini IL 기 기;Sunt pasionat de fotbal şi de mașini W;Sunt pasionat de fotbal şi de mașini W;Sunt pasionat de fotbal și de mașini
 -7.jpg;in drum spre inima ta;in drum spre inima ta;in drum spre inima ta;Sinima F 1;Sinima F 1;=,
Screenshot 2024-06-07 at 22.47.01.png;cu berea in mana si cu gandul la tine;cu berea in mana @ocult_nane si cu gandul la tine<3;cu berea in mana @ ocult_nane si cu gandul la tine < 3;cu berea in mana si cu gandul la tine<3;cu berea in mana si cu gandul la tine < 3;CU be rea indiana si cu gandul la tine<3
 -16.jpg;Tu mi faci inima sã bată Cum nu o face nicio fată;Tu îmi faci inima să bată CATALOGUL CLASE PROFESORE Cum n-o face nici o fată;Tu îmi faci inima să bată CATALOGUL CLASE PROFESORE Cum n-o face nici o fată;Tu ti faci Inima să bată Cum n-o face nici o fată;Tu ti faci Inima să bată Cum n-o face nici o fată;Tu tul faci nina să Cua n-o face nici o fală
x62i44yuce4d1.png;PARTIDUL SATANIST DOMINANT;PARTIDUL SATANIST DOMINANT;PARTIDUL SATANIST DOMINANT;;;
Screenshot 2024-06-07 at 21.17.38.png;"Când cineva îmi zice ""iar mănânci?""";"Când cineva îmi zice ""iar mănânci?""";"Când cineva îmi zice "" iar mănânci? """;"Când cineva îmi zice ""iar mănânci?”";"Când cineva îmi zice "" iar mănânci? ”";Când cineva îmi zice “iar mănânci?”
444458268_10231473401399433_6584007209167027935_n.jpg;DE 1 IUNIE SĂ NU UITĂM DE CEL MICI!;Meme.Ro DE 1 IUNIE SÅ NU UITĂM DE CEI MICI!;Meme. Ro DE 1 IUNIE SÅ NU UITĂM DE CEI MICI!;Meme.Ro DE 1 IUNIE SĂ NU UITĂM DE CEI MICI!;Meme. Ro DE 1 IUNIE SĂ NU UITĂM DE CEI MICI!;DEA IUNIE - » SÂNU UITĂM DE CEI MICI!
ozkp8mj5uw3d1.png;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame;Bunica pregătită să-mi dea perversa după ce i-am zis că nu imi e foame
369471634_1245291863537060_8591066378106121870_n.jpg;CÂND NU VREI SĂ SIMTĂ TAC-TU CĂ AI FUMAT IN MASINA LUI;CÂND NU VREI SĂ SIMTĂ TAC-TU CĂ AI FUMAT ÎN MAŞINA LUI HONOR Little Blac Black bf;CÂND NU VREI SĂ SIMTĂ TAC-TU CĂ AI FUMAT ÎN MAŞINA LUI HONOR Little Black bf;CANU NU VREI SA SIMTA TAC-TU CĂ AI FUMAT ÎN MASINA LUI;CANU NU VREI SA SIMTA TAC-TU CĂ AI FUMAT ÎN MASINA LUI;CAN NU VhEi SA SIMIA TAL-iu CĂ AI FUMAT ÎN MAȘINA LUI &
417776937_1075929060097547_2219820023527904890_n.jpg;Am lista cu toti care au dat cu petarde, îi astept sã treac cu bicicleta.;Am lista cu toţi care au dat cu petarde, îi aștept să treacă cu bicicleta.;Am lista cu toţi care au dat cu petarde, îi aștept să treacă cu bicicleta.;Am lista cu toţi care au dat cu petarde, îi aştept să treacă cu bicicleta.;Am lista cu toţi care au dat cu petarde, îi aştept să treacă cu bicicleta.;Am lista cu toţi care au dat cu petarde, îi aștept să treacă cu bicicleta.
ivae4pf6770d1.jpeg;O eugenie;O eugenie BANCA NATIONALA AROMANTEL 500 LEI CINCI SUTE CINCI SUTE LEI 500;O eugenie BANCA NATIONALA AROMANTEL 500 LEI CINCI SUTE CINCI SUTE LEI 500;y O eugenie;y O eugenie;(5) a sf + tre O eugenie
Unknown.jpg;TACÂMURI PENTRU DIETĂ;TACÂMURI PENTRU DIETĂ;TACÂMURI PENTRU DIETĂ;TACÂMURI PENTRU DIETĂ __;TACÂMURI PENTRU DIETĂ __;TACÂMURI PENTRU DIETĂ / / A, ii EX i N /
Screenshot 2024-06-07 at 22.11.09.png;degeaba ma vorbiți de bine ca mie tot rau imi merge;degeaba ma vorbiţi de bine DSQUARE CON ca mie tot rau imi merge;degeaba ma vorbiţi de bine DSQUARE CON ca mie tot rau imi merge;degeaba ma vorbiți de bine N ca mie tot rau imi merge;degeaba ma vorbiți de bine ca mie tot rau imi merge;degeaba ma vorbiti de bine == a ca mie tot rau imi merge
y9totu55qzxa1.jpg;Cluj 120k ron;Cluj 120k ron Medico Della Peste Bed;Cluj 120k ron Bed;Cluj 120k ron;Cluj 120k ron;Cluj 120k ron
.jpg;sa mori tu;sa mori tu;sa mori tu;-;;"E W > 3 5 a 4 & E n 0 E e _- DD 4 LA RU = dă a Ha 3 . a ui SI m îi ui m_i îi 9 2 2 HE s_2 4 5 LA LA, BD ui 8 LR) m i Ia A Wa ăi O 5 HA 4 3 a E i [A ii AN a i E Hi a Si x 3_4 Bu So 3 ia ZI ne 3 9 ui a a UD A îi d 2 3 E A LX E; a 2 > a E N 1 > u „0 m MM HA _9 d & EN n a N DA DD LD A HN Ra Ii 3 E NB 4 N a 3 ah a 3 a Lp / du dă m 2% ap » at N Su ăi Nu DAE n x _u MD E m > m ” 9 u N 2 n x 5 _a ăi N E"
Screenshot 2024-06-07 at 21.59.50.png;Cand cuiva Începe sã îi pese de mine Eu:aici suna a manevră;Cand cuiva începe să îi pese de mine: Eu:aici suna a manevră;Cand cuiva începe să îi pese de mine: Eu: aici suna a manevră;Cand cuiva începe să îi pese de mine: Eu:aici suna a manevră;Cand cuiva începe să îi pese de mine: Eu: aici suna a manevră;afid cuiva înce pe să i pese de mine: Eu:alci suna a manevră
80w5x8f37yq91.jpg;> devine ministrul educatiei > FUTE TOT SISTEMUL > nu elaboreaza > isi da demisia;>devine ministrul educatiei >FUTE TOT SISTEMUL >nu elaboreaza >isi da demisia SLEEK'NTEARS;> devine ministrul educatiei > FUTE TOT SISTEMUL > nu elaboreaza > isi da demisia SLEEK ' NTEARS;;;
2c8ame63mlca1.png;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă l pe Andrew Tate;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă | pe Andrew Tate;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă | pe Andrew Tate;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă I pe Andrew Tate;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă I pe Andrew Tate;Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreg la Ben 10 si lasăl pe Andrew Tate
Screenshot 2024-06-07 at 21.48.29.png;Eu făcându mi câtiva cartofi si două ouă ochiuri;Eu făcându mi câțiva cartofi și două ouă ochiuri;Eu făcându mi câțiva cartofi și două ouă ochiuri;Eu făcându mi câţiva cartofi și două ouă ochiuri;Eu făcându mi câţiva cartofi și două ouă ochiuri;Eu făcându mi câţiva cartofi și două ouă ochiuri
81abhsroaxw81.jpg;NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI;NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI imgflip.com C.;NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI imgflip. com C.;NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI;NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI;NU AM VIATA SOCIALA DUPA CE AM STAT,TOATA VIATA IN FATA PG:ULUI „vi E, 2%
Screenshot 2024-06-07 at 22.31.40.png;Eu Tu;Eu Tu;Eu Tu;;;PI
426448238_10230885883191845_8498433358553736147_n.jpg;Când vă despartiti si vă cereti cadourile inapoi.;Când vă despărţiţi şi vă cereţi cadourile înapoi.;Când vă despărţiţi şi vă cereţi cadourile înapoi.;Când vă despărţiţi şi vă cereţi cadourile înapoi.;Când vă despărţiţi şi vă cereţi cadourile înapoi.;Când vă despărțiți și vă cereţi cadourile înapoi.
434632820_7059113410885087_1660315003916997797_n.jpg;Prieteni: Când o sã ai si tu copii? Eu: Am deja un copil;Prieteni: Când o să ai și tu copii? Eu: Am deja un copil;Prieteni: Când o să ai și tu copii? Eu: Am deja un copil;Prieteni: Când o să ai și tu copii? Eu: Am deja un copil;Prieteni: Când o să ai și tu copii? Eu: Am deja un copil;Prieteni: Când o să ai și tu copii? Eu: Am deja un copil
1ooYwyF.jpg;pulverizator  fâs-fâs;AIR pulverizator fâs-fâs;AIR pulverizator fâs-fâs;pulverizator fâs-fâs;pulverizator fâs-fâs;pulverizator fâs-fâs
410894749_1095827864926601_4337267014987267069_n.jpg;VÂND OM DE ZĂPADĂ DEMONTAT;VÂND OM DE ZĂPADĂ DEMONTAT Zâmbăneaţa cu Motan;VÂND OM DE ZĂPADĂ DEMONTAT Zâmbăneaţa cu Motan;VÂND OM DE ZĂPADĂ DEMONTAT;VÂND OM DE ZĂPADĂ DEMONTAT;VÂND OM DE ZĂPADĂ DEMONTAT
Screenshot 2024-06-07 at 21.45.47.png;Eu asteptând sã îmi dai mesaj;Eu aşteptând să îmi dai mesaj;Eu aşteptând să îmi dai mesaj;Eu aşteptând să îmi dai mesaj;Eu aşteptând să îmi dai mesaj;„. SA:
376037829_1340147593595957_3618935269938336647_n.jpg;- Nu o să mai găsesti niciuna ca mine! - Aşa să m-ajute Dumnezeu;-Nu o să mai găseşti niciuna ca mine! - Aşa să m-ajute Dumnezeu V;-Nu o să mai găseşti niciuna ca mine!-Aşa să m-ajute Dumnezeu V;-Nu o să mai găseşti niciuna ca mine! - Aşa sǎ m-ajute Dumnezeu;-Nu o să mai găseşti niciuna ca mine!-Aşa sǎ m-ajute Dumnezeu;-Nu o să - Aşa să mai găseşti niciuna ca m-ajute mine! Dumnezeu Se
Screenshot 2024-06-07 at 21.19.53.png;Când i-ai trimis mesajul acum 7h si a fost activa acum 10 minute;Când i-ai trimis mesajul acum 7h şi a fost activa acum 10 minute;Când i-ai trimis mesajul acum 7h şi a fost activa acum 10 minute;Când i-ai trimis mesajul acum 7h și a fost activa acum 10 minute;Când i-ai trimis mesajul acum 7h și a fost activa acum 10 minute;Când i-ai trimis mesajul acum 7h și a fost activa acum 10 minute imn ENI =
xgp4vt0mmbxb1.jpg;Romanii: noi nu serbam Halloween, e un obicei anti-crestin sa iti pui masti de demoni Tot romanii:;Romanii: noi nu serbam Halloween, e un obicei anti-crestin sa iti pui masti de demoni Tot romanii: G;Romanii: noi nu serbam Halloween, e un obicei anti-crestin sa iti pui masti de demoni Tot romanii: G;Romanii: noi nu serbam Halloween, un obicei anti-crestin sa iti pui masti de demoni Tot romanii:;Romanii: noi nu serbam Halloween, un obicei anti-crestin sa iti pui masti de demoni Tot romanii:;Romanii: noi nu serbari Halloween, e un obicei anti-crestin sa iti pui masti de demoni Tat romanii: As a
404997876_345500474838052_6282824953073103411_n.jpg;Mă pun la somn să mă odihnesc si visez că lucrez;Mă pun la somn să mă odihnesc şi visez că lucrez @2trecatori;Mă pun la somn să mă odihnesc şi visez că lucrez @ 2trecatori;Mǎ pun la somn să mă odihnesc şi visez că lucrez;Mǎ pun la somn să mă odihnesc şi visez că lucrez;Mă pun la somn să mă odihnesc şi visez că lucrez
431186658_409128691808563_4040799327580692939_n.jpg;Intotdeauna se găseste o prietenă căreia să-i fie frică la filmele de groaza;Întotdeauna se găsește o prietenă căreia să-i fie frică la filmele de groază;Întotdeauna se găsește o prietenă căreia să-i fie frică la filmele de groază;Întotdeauna se găseşte o prietenă căreia să-i fie frică la filmele de groază;Întotdeauna se găseşte o prietenă căreia să-i fie frică la filmele de groază;ntotdeauna se:găsește-o prietenă cărela să-l fe frică [a fiimele:de groază Mp -! i ta E
vp0cpx6dz4381.png;Zi de nastere in anii 2000:;Zi de nastere in anii 2000: Frust Frucci CREATIVE IEF CREATIVE СССС;Zi de nastere in anii 2000: Frust Frucci IEF СССС;;;al
0w2ztzexxzr91.jpg;hai coae ca nu patesti nimic...;"""hai coae ca nu patesti nimic..."" 質 DACIA";""" hai coae ca nu patesti nimic... "" 質 DACIA";"""hai coae ca nu patesti nimic...""";""" hai coae ca nu patesti nimic... """;“hai coae ca nu patesti nimic...” “e 0 A
354456146_1204017804331133_2051057632009723038_n.jpg;Trezitul nu e o problemã Cu ridicatul din pat e mai greu..;Trezitul nu e o problemă Cu ridicatul din pat e mai greu..;Trezitul nu e o problemă Cu ridicatul din pat e mai greu..;Cu ridicatul din pat e mai greu..;Cu ridicatul din pat e mai greu..;Cu ridicatul din pat e mai greu. Ma || +” IP al
Screenshot 2024-06-07 at 22.12.50.png;Anestezie lași 2022;Anestezie laşi 2022;Anestezie laşi 2022;Anestezie laşi 2022;Anestezie laşi 2022;
m3d73ypsbrd51.jpg;ÎN SFARSIT STAȚIUNEA TATAIA;imgflip.com ÎN SFÂRŞIT WELCOME Tataia STAȚIUNEA TATAIA;imgflip. com ÎN SFÂRŞIT WELCOME Tataia STAȚIUNEA TATAIA;ÎN SFÂRŞIT STAȚIUNEA TATAIA;ÎN SFÂRŞIT STAȚIUNEA TATAIA;| ai i j | | LDatete | crapă mata t
Screenshot 2024-06-07 at 22.27.07.png;Checutu';Checutu;Checutu;Checutu';Checutu ';e ii Checutiul
49ecwfsxu4ub1.jpg;De ce juratii de la Masterchef România din 2012, arată ca o trupă pop/rock?;De ce jurații de la Masterchef România din 2012, arată ca o trupă pop/rock? r/romemes;De ce jurații de la Masterchef România din 2012, arată ca o trupă pop rock?;De ce jurații de la Masterchef România din 2012, arată ca o trupă pop/rock?;De ce jurații de la Masterchef România din 2012, arată ca o trupă pop / rock?;De ce juraţii de la Masterchef România din 2012, arată ca o trupă pop/rock? P
431076585_404825542238878_3741912701135914085_n.jpg;Azi esti tanar, maine ii faci crispy la o pitica de 1,56 cu nervi turbo diesel de stie sa loveascã la ficat;Azi esti tanar, maine ii faci crispy la o pitica de 1,56 cu nervi turbo diesel de stie sa lovească la ficat;Azi esti tanar, maine ii faci crispy la o pitica de 1, 56 cu nervi turbo diesel de stie sa lovească la ficat;Az esti tanar, maine ii faci crispy la o pitica de 1,56 cu nervi turbo diesel de stie sa loveasca la ficat;Az esti tanar, maine ii faci crispy la o pitica de 1, 56 cu nervi turbo diesel de stie sa loveasca la ficat;Az esti tanar, maine i taci nr 2 spy lao pitica de 1,56 cu “veri turbo diesel de stie sa loveasca la ficat
Screenshot 2024-06-07 at 22.28.24.png;CAND INTRA HOȚII IN CASA SI TE UITI CUM CAUTA BANII PE CARE NU II AI;CAND INTRA HOȚII IN CASA SI TE UITI CUM CAUTA BANII PE CARE NU II AI;CAND INTRA HOȚII IN CASA SI TE UITI CUM CAUTA BANII PE CARE NU II AI;CAND INTRA HOTII IN CASA SI TE UITI CUM CAUTA BANII PE CARE NO II AI;CAND INTRA HOTII IN CASA SI TE UITI CUM CAUTA BANII PE CARE NO II AI;CAND INTEA OȚII IN CASA SITEURI CUI CAUTA 5 ANII PE CARE HU II A]
Screenshot 2024-06-07 at 22.01.59.png;Eu la 13 ani: Cum am făcut 18 ani dau de carnet și îmi iau mașină Eu la 18 ani:;Eu la 13 ani: Cum am făcut 18 ani dau de carnet şi îmi iau mașină Eu la 18 ani: OFVISA SAD;Eu la 13 ani: Cum am făcut 18 ani dau de carnet şi îmi iau mașină Eu la 18 ani: OFVISA SAD;Eu la 13 ani: Cum am făcut 18 ani dau de carnet şi îmi iau maşină Eu la 18 ani:;Eu la 13 ani: Cum am făcut 18 ani dau de carnet şi îmi iau maşină Eu la 18 ani:;Eu la 13 ani: Cum am făcut 18 ani dau de carnet și îmi iau mașină Eu la 18 ani: N,
